cityName,country,lat,lng,temp,humidity,cloudiness,winds
ugoofaaru,mv,5.67,73.0,81.13,100,24,12.68
beloha,mg,-25.17,45.06,58.63,89,0,8.66
yumen,cn,40.29,97.04,74.29,70,8,3.4
meulaboh,id,4.14,96.13,81.04,100,64,2.73
uthal,pk,25.81,66.62,82.84,83,88,3.74
cayenne,gf,4.94,-52.33,75.2,100,75,3.96
bundaberg,au,-24.87,152.35,66.19,99,36,14.7
mmabatho,za,-25.85,25.61,41.0,65,0,2.24
anito,ph,12.45,125.29,83.92,100,8,5.41
mandalgovi,mn,45.76,106.27,61.96,68,80,15.03
mehamn,no,71.03,27.85,43.33,98,92,17.05
barrow,us,-38.31,-60.23,38.38,40,0,17.16
kupang,id,-10.16,123.6,82.4,61,40,24.16
eureka,us,40.8,-124.16,66.79,72,1,13.87
poum,nc,41.28,20.71,42.61,98,48,1.61
gat,ly,14.69,-16.54,73.84,93,76,7.99
lasa,cn,34.92,32.53,72.09,88,20,4.7
praia,cv,-20.25,-43.81,64.4,72,0,4.7
faya,td,18.39,42.45,68.88,21,0,1.61
viedma,ar,-40.81,-62.99,36.76,54,0,9.22
agadir,ma,30.42,-9.58,68.0,77,40,0.38
pevek,ru,69.7,170.27,45.04,67,12,10.56
thompson,ca,55.74,-97.86,73.4,23,20,9.17
klyuchi,ru,52.25,79.17,69.7,90,20,4.97
aykhal,ru,65.95,111.51,71.59,60,20,3.62
palmer,us,-34.85,139.16,55.4,76,75,4.7
shimoda,jp,34.7,138.93,66.2,100,75,11.41
matam,sn,15.66,-13.26,86.08,57,76,10.89
port macquarie,au,-31.43,152.91,59.0,62,0,8.05
kyle,us,29.99,-97.88,89.37,62,1,17.22
chegdomyn,ru,51.13,133.04,60.25,66,48,6.64
svetlogorsk,ru,53.14,59.15,59.0,77,0,6.71
lebu,cl,8.96,38.73,51.97,71,64,2.39
guarapari,br,-20.67,-40.5,73.4,88,0,5.82
tual,id,-5.67,132.75,80.32,99,24,15.03
bogorodskoye,ru,52.37,140.44,50.44,78,64,6.64
karratha,au,-20.74,116.85,70.78,20,0,18.5
lindi,tz,-10.0,39.71,62.77,87,20,4.41
vila franca do campo,pt,37.72,-25.43,66.2,77,75,5.82
tonneins,fr,44.39,0.31,55.33,82,0,3.36
ponta do sol,cv,-20.63,-46.0,61.24,72,24,3.96
campbellton,ca,48.0,-66.68,64.57,68,88,4.85
katrineholm,se,59.0,16.21,45.84,87,0,5.82
hilo,us,19.71,-155.08,78.8,74,90,11.41
provideniya,ru,64.42,-173.23,40.72,100,88,11.45
east london,za,-33.02,27.91,63.58,100,0,23.31
narsaq,gl,60.91,-46.05,41.0,80,75,3.36
udimskiy,ru,61.14,45.92,67.72,66,0,4.41
krutikha,ru,53.96,81.21,71.14,77,20,4.41
berlevag,no,70.86,29.09,44.59,95,68,14.81
jiangyou,cn,31.78,104.73,73.3,100,92,4.18
san cristobal,ec,-0.39,-78.55,53.6,76,40,12.75
lima,pe,-12.06,-77.04,52.42,88,12,2.39
sita road,pk,27.03,67.85,87.97,60,0,3.06
kaitangata,nz,-46.28,169.85,46.57,67,0,19.06
sitka,us,37.17,-99.65,77.08,73,0,11.56
klaksvik,fo,62.23,-6.59,50.0,100,92,8.05
hasaki,jp,35.73,140.83,70.74,94,75,3.36
punta umbria,es,37.18,-6.97,66.46,79,0,4.63
codrington,ag,-28.95,153.24,63.58,63,0,3.85
mabaruma,gy,8.2,-59.78,74.29,100,76,4.63
arraial do cabo,br,-22.97,-42.02,71.5,87,0,17.05
suar,in,29.03,79.05,90.94,60,8,5.75
sorong,id,-0.86,131.25,81.94,100,8,4.63
avarua,ck,-21.21,-159.78,84.2,74,40,5.82
pisco,pe,-13.71,-76.2,62.6,88,90,11.41
kharp,ru,66.82,65.8,62.86,70,0,8.55
lompoc,us,34.64,-120.46,67.24,87,90,4.7
mirandopolis,br,-21.13,-51.1,64.93,73,8,2.73
kathmandu,np,27.71,85.32,73.4,83,40,0.72
fuerte olimpo,py,-21.04,-57.87,74.11,61,0,10.45
gondar,et,41.82,-8.78,67.8,78,0,3.51
mount gambier,au,-37.83,140.78,50.44,95,88,3.18
taywarah,af,33.35,64.42,62.59,28,0,3.06
yining,cn,29.04,114.56,82.3,85,88,3.29
sudak,ua,44.85,34.97,64.12,100,44,10.89
broome,au,52.47,1.45,50.41,87,48,3.36
birin,dz,35.01,36.67,66.01,91,0,12.46
katherine,au,-14.47,132.26,75.2,27,0,9.17
jiuquan,cn,39.73,98.49,64.12,86,12,2.95
zakamensk,ru,50.38,103.29,59.08,77,32,1.39
port hardy,ca,50.7,-127.42,62.6,67,75,6.93
ayr,au,55.46,-4.63,44.6,100,12,3.36
saint-joseph,re,43.56,6.97,66.69,72,40,3.36
leh,in,34.16,77.58,31.54,100,80,1.83
sabang,id,13.72,123.58,83.74,93,56,3.96
santa isabel,mx,4.71,-75.1,73.4,78,40,5.82
saskylakh,ru,71.97,114.09,65.38,100,56,4.63
port elizabeth,za,39.31,-74.98,70.7,94,90,6.93
lixourion,gr,38.2,20.43,66.2,93,20,12.46
logstor,dk,56.96,9.26,56.38,89,20,17.49
zelenoborskiy,ru,66.84,32.36,52.51,73,32,7.87
kisangani,cd,0.52,25.21,68.8,100,12,2.39
namwala,zm,-15.75,26.45,49.27,89,0,5.86
aksarka,ru,66.56,67.8,55.12,69,0,19.73
quchan,ir,37.11,58.51,68.35,47,12,3.85
bulgan,mn,48.81,103.53,63.76,70,12,4.41
ayan,ru,40.67,33.6,48.91,90,36,2.28
ambikapur,in,23.12,83.2,85.54,72,0,10.0
saint-francois,gp,46.42,3.91,51.8,87,0,6.2
dwarka,in,28.58,77.04,93.2,38,75,3.36
korcula,hr,42.96,17.14,51.16,100,0,4.85
watertown,us,44.9,-97.12,72.5,83,90,6.93
fairbanks,us,64.84,-147.72,66.72,37,76,3.36
richards bay,za,-28.77,32.06,53.86,83,0,3.4
tigzirt,dz,36.57,4.2,59.8,76,0,2.73
killybegs,ie,54.63,-8.45,45.67,100,0,2.17
inirida,co,3.87,-67.92,71.59,97,56,2.17
abu dhabi,ae,24.47,54.37,87.8,62,0,2.24
beringovskiy,ru,63.05,179.32,43.33,100,92,11.12
nigde,tr,37.97,34.68,52.51,92,68,2.28
kyren,ru,51.68,102.13,59.35,73,0,2.39
xining,cn,36.62,101.77,69.61,47,12,3.06
novobirilyussy,ru,56.95,90.69,76.54,58,0,7.99
roald,no,62.58,6.12,50.77,100,56,9.17
pangnirtung,ca,66.15,-65.72,30.37,95,48,1.39
atuona,pf,-9.8,-139.03,80.59,100,0,17.72
turukhansk,ru,65.8,87.96,69.16,99,48,8.55
san patricio,mx,-26.98,-56.83,67.99,93,92,3.4
mahajanga,mg,-15.72,46.32,69.8,88,20,13.35
methoni,gr,36.82,21.7,68.0,82,0,16.93
hagere hiywet,et,8.98,37.85,49.36,95,76,1.72
hefei,cn,31.82,117.22,80.6,78,56,6.71
tura,ru,25.52,90.21,79.42,97,64,3.62
nalut,ly,31.86,10.98,70.51,41,0,4.18
laguna,br,27.52,-110.01,87.8,40,5,11.41
sibu,my,2.29,111.83,77.0,94,75,2.24
trincomalee,lk,8.58,81.23,83.11,70,32,16.04
boddam,gb,57.47,-1.78,55.4,82,68,2.24
cabo san lucas,mx,22.89,-109.91,75.47,68,5,14.99
suarez,co,4.05,-74.83,73.4,78,40,5.82
kurchum,kz,48.57,83.65,79.69,46,48,3.96
namibe,ao,-15.19,12.15,69.61,99,0,3.85
monrovia,lr,6.33,-10.8,75.2,94,40,2.51
grand bank,ca,47.1,-55.77,48.19,91,80,14.7
houma,us,35.63,111.36,84.82,48,0,5.3
khasan,ru,42.43,130.64,70.87,72,20,2.62
tarakan,id,3.3,117.63,84.01,91,56,0.94
kentau,kz,43.52,68.5,70.87,50,44,4.07
anadyr,ru,64.73,177.51,50.0,71,75,13.42
dawei,mm,14.07,98.19,72.67,100,92,1.05
norman wells,ca,65.28,-126.83,69.8,56,75,20.8
kulhudhuffushi,mv,6.62,73.07,80.77,100,64,14.81
mahdalynivka,ua,48.92,34.92,59.0,87,90,17.9
sorland,no,67.67,12.69,47.29,100,8,16.26
saint george,bm,39.45,22.34,69.8,64,75,4.7
sjovegan,no,68.87,17.85,43.9,93,100,3.36
churapcha,ru,62.0,132.43,73.12,47,68,3.4
yarmouth,ca,50.71,-1.5,57.16,76,24,3.36
bandarbeyla,so,9.49,50.81,77.08,81,44,31.25
tevriz,ru,57.51,72.4,62.86,81,36,3.18
usinsk,ru,66.0,57.56,64.03,81,44,4.18
half moon bay,us,37.46,-122.43,89.13,39,1,23.04
puerto leguizamo,co,-0.19,-74.78,71.32,99,36,2.17
zermatt,ch,46.02,7.75,60.03,58,0,1.12
avera,pf,33.19,-82.53,79.61,83,1,4.7
esperance,au,10.24,-61.45,77.0,94,40,13.87
pavilosta,lv,56.89,21.19,45.54,93,36,11.68
dunedin,nz,-45.87,170.5,45.58,79,8,9.78
kruisfontein,za,-34.0,24.73,61.24,84,36,22.19
hamilton,bm,32.3,-64.78,78.8,88,20,11.41
la poza,mx,29.19,-110.62,98.6,35,5,10.29
fushun,cn,41.89,123.95,84.2,45,0,4.47
huilong,cn,28.89,110.18,76.54,97,92,2.62
dumabato,ph,16.32,121.7,79.51,93,68,3.18
linxia,cn,35.6,103.21,57.46,91,92,4.07
daru,pg,7.99,-10.85,69.79,99,88,2.62
payakumbuh,id,-0.23,100.63,75.64,91,88,3.29
kavaratti,in,10.57,72.64,80.86,100,48,18.05
itarema,br,-2.92,-39.92,77.89,80,8,13.13
okato,nz,-39.19,173.88,53.86,100,92,24.54
tiassale,ci,5.9,-4.83,72.76,98,92,4.41
bulaevo,kz,54.91,70.44,64.21,80,44,6.87
doka,sd,13.52,35.76,67.81,95,48,10.56
troitskoye,ru,52.98,84.68,64.66,100,88,3.51
wolgast,de,54.05,13.77,60.25,89,92,12.91
prachatice,cz,49.01,14.0,48.73,86,64,6.64
banjarmasin,id,-3.32,114.59,84.2,74,20,13.87
bocas del toro,pa,9.33,-82.25,77.71,100,88,12.91
talalayivka,ua,50.96,31.92,52.42,93,32,15.59
sabha,ly,27.03,14.43,80.41,33,0,14.7
hobyo,so,5.35,48.53,76.45,77,56,20.51
carlagan,ph,14.97,122.05,80.5,100,76,3.18
forestville,ca,48.74,-69.09,71.6,49,75,6.93
polyarnyy,ru,69.2,33.45,53.6,66,40,6.71
kumla,se,59.13,15.14,48.2,93,100,6.93
sur,om,22.57,59.53,88.96,84,24,2.62
yilan,cn,24.75,121.75,88.63,62,75,13.87
haflong,in,25.18,93.03,74.29,99,88,2.51
castro,cl,-42.48,-73.76,28.39,100,56,2.95
tigil,ru,57.8,158.67,69.43,67,0,4.74
inta,ru,66.04,60.13,64.39,74,0,3.18
kunya,ru,12.22,8.53,69.8,100,0,5.64
hay river,ca,60.82,-115.79,64.4,82,75,3.36
boditi,et,6.95,37.86,50.35,89,56,2.39
chepo,pa,9.17,-79.09,76.03,94,40,2.24
puerto rico,co,-26.82,-55.03,72.76,60,100,5.75
hami,cn,42.84,93.51,85.09,43,12,7.87
nyurba,ru,63.29,118.35,73.12,68,0,3.51
fukue,jp,35.03,136.69,71.6,83,75,3.36
babstovo,ru,48.12,132.48,67.09,61,8,5.41
verkhnyaya sinyachikha,ru,57.98,61.67,61.42,80,92,7.09
iskateley,ru,67.68,53.15,58.18,82,0,6.42
alihe,cn,50.57,123.73,66.28,68,88,4.41
hokitika,nz,-42.72,170.96,49.63,100,92,19.95
ahipara,nz,-35.17,173.16,57.19,93,76,16.49
xuddur,so,4.12,43.89,69.97,78,20,15.7
roebourne,au,-20.77,117.15,70.78,20,0,18.5
mogocha,ru,53.73,119.76,66.37,63,80,5.19
newport,us,51.59,-3.0,55.4,71,8,8.05
eyl,so,7.98,49.82,79.87,77,32,23.87
bambous virieux,mu,-20.34,57.76,71.6,68,75,8.05
thatta,pk,31.7,74.64,83.48,69,0,2.24
morondava,mg,-20.3,44.28,60.88,100,0,4.07
puerto madero,mx,-34.61,-58.36,42.15,30,0,10.29
rennes,fr,48.11,-1.68,57.99,62,0,5.82
torbay,ca,47.66,-52.73,55.4,47,75,33.33
celestun,mx,20.87,-90.4,83.11,95,68,12.01
laurel,us,45.67,-108.77,66.2,52,75,11.41
tongren,cn,27.72,109.18,73.21,100,92,3.62
hervey bay,au,-25.3,152.85,63.67,100,92,7.2
yar-sale,ru,66.83,70.83,50.35,72,0,18.05
estelle,us,32.87,-97.01,92.07,41,40,16.11
beihai,cn,38.95,121.19,87.8,40,0,17.9
mahon,es,51.89,-8.4,55.4,71,20,5.82
flin flon,ca,54.77,-101.88,63.22,75,0,6.98
pesochnoye,ru,58.01,39.18,72.4,63,20,12.68
slantsy,ru,59.12,28.09,56.02,85,92,6.2
rapid valley,us,44.06,-103.15,65.25,68,90,4.7
carnot,cf,4.94,15.87,63.85,93,0,2.84
san quintin,mx,17.54,120.52,84.2,74,20,6.93
beira,mz,43.2,-8.36,66.2,82,0,2.17
bethel,us,60.79,-161.76,53.6,58,90,4.7
zalesovo,ru,54.0,84.74,68.17,85,92,6.98
taman,id,45.22,36.72,69.8,94,0,8.95
bagdarin,ru,54.44,113.59,58.54,88,68,3.51
san pedro,ar,-33.68,-59.66,43.06,65,0,14.03
arak,ir,34.1,49.69,59.89,61,0,2.39
dogondoutchi,ne,13.64,4.03,76.54,86,0,6.98
sabae,jp,35.95,136.19,75.2,57,20,11.41
mto wa mbu,tz,-3.38,35.86,58.54,100,48,3.74
mogadishu,so,2.04,45.34,78.79,98,80,20.62
anloga,gh,5.79,0.9,75.2,94,20,5.82
bocicoiu mare,ro,47.96,24.01,48.2,93,100,3.36
hovd,mn,63.83,10.7,48.92,93,75,11.41
banyo,cm,6.75,11.81,55.66,90,8,0.38
terrace,ca,54.52,-128.61,69.8,37,75,19.46
pangody,ru,65.85,74.49,59.71,92,92,16.82
high prairie,ca,55.43,-116.48,70.78,65,44,4.29
cravo norte,co,6.3,-70.2,76.27,86,20,6.2
chapais,ca,49.78,-74.86,46.4,87,90,10.29
ila,ng,63.43,10.37,48.92,93,75,11.41
salmas,ir,38.2,44.77,59.0,72,0,11.41
rorvik,no,64.86,11.24,44.77,100,48,4.29
kavalerovo,ru,44.27,135.06,57.01,64,76,6.53
marawi,sd,8.0,124.29,77.62,86,64,3.18
suicheng,cn,33.9,117.93,85.81,58,0,11.23
vardo,no,39.62,-77.74,72.1,100,90,4.18
hualmay,pe,-11.1,-77.61,51.97,97,36,4.63
tortoli,it,39.93,9.66,71.6,88,75,5.82
okha,ru,53.59,142.95,49.81,97,76,12.68
darhan,mn,49.49,105.92,66.55,53,56,7.65
isangel,vu,-19.55,169.27,72.76,100,0,12.01
curuca,br,-2.52,-61.06,74.83,97,12,4.74
bondo,cd,3.81,23.69,66.64,100,12,2.17
venado,mx,22.93,-101.09,66.01,73,8,6.31
ziro,in,27.54,93.82,68.08,92,80,1.61
jacqueville,ci,5.21,-4.42,75.2,100,20,1.12
yefremov,ru,53.14,38.12,73.21,38,12,12.91
luoyang,cn,34.66,112.42,84.37,69,0,7.54
rondonopolis,br,-16.46,-54.64,64.21,59,8,4.97
glyadyanskoye,ru,54.91,65.09,63.94,80,24,12.35
saint-pierre,pm,48.95,4.24,53.6,81,0,5.82
krasnoarmeysk,kz,56.12,38.15,64.4,77,0,8.95
tsimlyansk,ru,47.65,42.1,75.64,54,92,10.33
yangambi,cd,0.77,24.47,68.44,100,0,2.28
puerto escondido,mx,15.86,-97.07,82.4,74,90,6.42
nanchong,cn,30.8,106.08,86.62,79,76,4.18
durres,al,41.32,19.44,60.8,93,40,13.91
magadi,ke,12.96,77.22,68.94,94,75,9.17
tuyen quang,vn,21.82,105.22,77.89,99,92,3.18
marsabit,ke,2.34,37.99,68.62,84,48,10.22
vanimo,pg,-2.67,141.3,79.96,100,44,7.65
marsa matruh,eg,31.35,27.25,66.2,68,0,6.93
ha tinh,vn,18.33,105.9,87.52,89,48,14.03
tilichiki,ru,60.47,166.1,60.97,71,0,5.64
gusau,ng,12.17,6.66,68.8,93,20,4.41
gaspar,br,-26.93,-48.96,62.6,100,20,4.7
husavik,is,50.56,-96.99,72.31,71,20,13.69
kuching,my,1.56,110.34,78.8,94,75,2.73
jos,ng,9.92,8.9,63.94,97,88,2.95
birao,cf,10.3,22.78,69.52,98,68,2.95
dire dawa,et,9.59,41.86,71.23,44,92,2.62
thomasville,us,35.88,-80.08,79.36,69,1,3.36
bara,sd,10.41,10.6,67.09,97,56,6.64
zhangye,cn,38.94,100.46,72.31,82,0,3.74
camacha,pt,33.08,-16.33,65.97,88,40,9.17
constitucion,mx,23.99,-104.67,75.2,50,75,8.05
balad,iq,-6.76,108.42,83.29,100,8,6.42
trairi,br,-3.28,-39.27,81.31,98,20,22.86
jawhar,so,19.91,73.23,73.48,100,92,4.85
shar,kz,7.3,8.73,69.16,99,92,2.51
lovozero,ru,68.01,35.02,49.09,79,68,9.44
gigmoto,ph,13.78,124.39,83.47,100,68,3.96
karpogory,ru,64.0,44.44,61.69,57,0,3.4
alcudia,es,39.85,3.12,66.2,77,0,1.12
ust-omchug,ru,61.13,149.63,74.11,22,68,3.4
akhisar,tr,38.92,27.84,56.47,93,0,2.73
sajanan,tn,37.06,9.24,69.67,78,40,3.36
owosso,us,43.0,-84.18,68.25,77,1,3.18
cam ranh,vn,11.92,109.15,82.93,91,64,1.16
beyneu,kz,45.32,55.19,77.98,28,0,4.41
navahrudak,by,53.59,25.82,51.52,99,92,8.21
amapa,br,15.09,-87.97,84.2,89,40,8.05
artesia,us,32.84,-104.4,101.26,13,1,9.17
ust-karsk,ru,52.71,118.82,62.41,95,92,3.18
henties bay,na,-22.12,14.28,53.23,100,0,6.98
boshnyakovo,ru,49.65,142.17,50.26,87,80,6.98
suileng,cn,47.25,127.08,72.49,64,0,6.87
alofi,nu,-19.06,-169.92,80.6,69,68,14.99
sistranda,no,63.73,8.83,48.2,93,75,14.99
wladyslawowo,pl,54.79,18.4,53.6,93,0,3.36
balikpapan,id,-1.24,116.86,82.4,83,40,6.93
nizhneudinsk,ru,54.91,99.03,72.4,58,0,3.62
garden city,us,40.73,-73.63,64.94,88,90,4.18
tuatapere,nz,-46.13,167.69,44.14,100,32,16.49
ibra,om,22.69,58.55,81.94,38,88,0.6
tongzi,cn,28.78,105.09,81.85,93,64,4.63
atar,mr,20.52,-13.05,75.01,35,0,4.07
chaohu,cn,31.63,117.88,80.6,78,68,6.71
ambon,id,47.55,-2.56,59.0,67,0,8.05
matay,eg,28.42,30.79,76.54,45,0,10.11
lagoa,pt,37.14,-8.45,69.8,77,0,2.24
mitsamiouli,km,-11.38,43.28,78.43,95,8,11.01
muroran,jp,42.32,140.98,64.4,82,75,13.87
omboue,ga,-1.57,9.26,74.29,100,92,7.31
fallon,us,46.84,-105.12,66.2,88,1,3.36
vung tau,vn,10.35,107.08,84.2,89,40,5.82
lata,sb,30.78,78.62,67.27,77,0,0.94
redmond,us,47.67,-122.12,70.2,49,40,3.36
kaeo,nz,-35.1,173.78,58.09,76,24,15.03
tazmalt,dz,36.39,4.4,68.0,72,0,9.17
jagtial,in,18.8,78.92,79.06,94,68,9.66
